2001,Stanley Kubrick,1968,1,USA
Metropolis,Fritz Lang,1927,0,Germany
Blade Runner,Ridley Scott,1982,0,USA
Alien,Ridley Scott,1979,1,USA
The Wizard of Oz,Victor Fleming,1939,2,USA
ET,Steven Spielberg,1982,4,USA
Solaris,Andrei Tarkovsky,1972,0,USA
Spirited Away,Hayao Miyazaki,2001,1,Japan
Star Wars (1977),George Lucas,1977,6,USA
Close Encounters,Steven Spielberg,1977,1,USA
King Kong,Ernest B Schoedsack; Merian C Cooper,1933,0,USA
Terminator/Terminator 2,James Cameron,1984,4,USA
The Matrix,Andy & Larry Wachowski,1999,4,USA
Alphaville,Jean Luc-Godard,1965,0,France
Back to the Future,Robert Zemeckis,1985,1,USA
Planet of the Apes,Franklin J Schaffner ,1968,1,USA
Brazil,Terry Gilliam,1985,0,UK
The Lord of the Rings trilogy,Peter Jackson,2001,17,New Zealand
Dark Star,John Carpenter,1974,0,USA
Day the Earth Stood Still,Robert Wise,1951,0,USA
Edward Scissorhands,Tim Burton,1990,0,USA
Akira,Katsuhiro Otomo,1988,0,Japan
Princess Bride,Rob reiner,1987,0,USA
Pan's Labyrinth,Guillermo del Toro,2006,3,Spain
Starship Troopers,Paul Verhoeven,1997,0,USA
